name,area,created_at,current_price,change_rate,road_address,latitude,longitude,variants,price_2024,image,price_2022,price_2023,price_2025
석탑아파트101동,84.6,2024-01-01 00:00:00,203000.0,-19.95,학동로 412,37.51741540077,127.044965038614,"[{'전용면적(㎡)': 84.6, '거래금액(만원)': 203000.0}, {'전용면적(㎡)': 59.82, '거래금액(만원)': 162500.0}]",203000.0,,,,162500.0
선경1차(1동-7동),163.92,2024-01-01 00:00:00,479000.0,24.74,삼성로 151,37.493154981993,127.062999980103,"[{'전용면적(㎡)': 163.92, '거래금액(만원)': 479000.0}, {'전용면적(㎡)': 136.68, '거래금액(만원)': 450000.0}, {'전용면적(㎡)': 117.7, '거래금액(만원)': 384000.0}, {'전용면적(㎡)': 84.35, '거래금액(만원)': 320000.0}]",479000.0,,384000.0,,
선경2차(8동-12동),160.76,2024-01-01 00:00:00,500000.0,,삼성로 151,37.493154981993,127.062999980103,"[{'전용면적(㎡)': 160.76, '거래금액(만원)': 500000.0}, {'전용면적(㎡)': 127.75, '거래금액(만원)': 435000.0}, {'전용면적(㎡)': 84.55, '거래금액(만원)': 344500.0}]",500000.0,,,,
선경3차,76.6,2022-01-01 00:00:00,210000.0,,남부순환로395길 10,37.4941797122137,127.060909637101,"[{'전용면적(㎡)': 76.6, '거래금액(만원)': 210000.0}]",,,210000.0,,
선릉역대우아이빌(890-49),28.34,2023-01-01 00:00:00,26000.0,28.95,테헤란로64길 9,37.5044954460598,127.051585189734,"[{'전용면적(㎡)': 28.34, '거래금액(만원)': 26000.0}, {'전용면적(㎡)': 25.42, '거래금액(만원)': 24500.0}, {'전용면적(㎡)': 20.37, '거래금액(만원)': 19000.0}]",24500.0,,19000.0,26000.0,
성영forU,164.53,2023-01-01 00:00:00,168000.0,,선릉로107길 24,37.509269037957,127.042099422355,"[{'전용면적(㎡)': 164.53, '거래금액(만원)': 168000.0}, {'전용면적(㎡)': 114.01, '거래금액(만원)': 116000.0}]",,,,168000.0,
성원대치2단지아파트,49.86,2024-01-01 00:00:00,153000.0,5.52,개포로109길 9,37.4957518185981,127.075101271591,"[{'전용면적(㎡)': 49.86, '거래금액(만원)': 153000.0}, {'전용면적(㎡)': 39.53, '거래금액(만원)': 145000.0}, {'전용면적(㎡)': 33.18, '거래금액(만원)': 125000.0}]",153000.0,,145000.0,,
세곡리엔파크(3단지),84.96,2024-01-01 00:00:00,122000.0,,헌릉로590길 11,37.4643990418051,127.104002692314,"[{'전용면적(㎡)': 84.96, '거래금액(만원)': 122000.0}]",122000.0,,,,
세곡푸르지오,84.83,2022-01-01 00:00:00,160000.0,-10.62,자곡로 21,37.4673466520187,127.093264549075,"[{'전용면적(㎡)': 84.83, '거래금액(만원)': 160000.0}, {'전용면적(㎡)': 74.74, '거래금액(만원)': 140000.0}, {'전용면적(㎡)': 59.89, '거래금액(만원)': 135000.0}]",143000.0,,160000.0,140000.0,
세방하이빌1,59.77,2024-01-01 00:00:00,121000.0,,역삼로 240,37.4973509140032,127.042803926344,"[{'전용면적(㎡)': 59.77, '거래금액(만원)': 121000.0}]",121000.0,,,,
세영팔레스타운,68.61,2024-01-01 00:00:00,158500.0,,영동대로65길 57,37.5007773305534,127.062122466182,"[{'전용면적(㎡)': 68.61, '거래금액(만원)': 158500.0}, {'전용면적(㎡)': 84.85, '거래금액(만원)': 157500.0}]",157500.0,,,,
수서,59.94,2024-01-01 00:00:00,128000.0,19.63,양재대로55길 12,37.4936295805412,127.089707610517,"[{'전용면적(㎡)': 59.94, '거래금액(만원)': 128000.0}, {'전용면적(㎡)': 52.29, '거래금액(만원)': 110000.0}, {'전용면적(㎡)': 39.98, '거래금액(만원)': 107000.0}]",128000.0,,107000.0,110000.0,
수서한아름,163.68,2024-01-01 00:00:00,250000.0,,광평로51길 22,37.4902172303572,127.103957177072,"[{'전용면적(㎡)': 163.68, '거래금액(만원)': 250000.0}, {'전용면적(㎡)': 129.45, '거래금액(만원)': 219500.0}, {'전용면적(㎡)': 97.63, '거래금액(만원)': 183000.0}]",250000.0,,,,
시티(B동),157.63,2024-01-01 00:00:00,260000.0,,봉은사로109길 66-7,37.5187787911302,127.064271356537,"[{'전용면적(㎡)': 157.63, '거래금액(만원)': 260000.0}]",260000.0,,,,
시티프라디움더강남101동,59.99,2024-01-01 00:00:00,180000.0,,언주로 557,37.5074195762945,127.039126999341,"[{'전용면적(㎡)': 59.99, '거래금액(만원)': 180000.0}]",180000.0,,,,
신동아,84.94,2022-01-01 00:00:00,275000.0,-12.73,광평로47길 17,37.4879086504963,127.098186321626,"[{'전용면적(㎡)': 84.94, '거래금액(만원)': 275000.0}, {'전용면적(㎡)': 242.04, '거래금액(만원)': 240000.0}, {'전용면적(㎡)': 49.96, '거래금액(만원)': 140500.0}, {'전용면적(㎡)': 39.51, '거래금액(만원)': 130000.0}, {'전용면적(㎡)': 33.18, '거래금액(만원)': 115000.0}]",240000.0,,275000.0,,
신동아(22),114.34,2022-01-01 00:00:00,229000.0,,강남대로146길 28,37.5150254952533,127.023030453954,"[{'전용면적(㎡)': 114.34, '거래금액(만원)': 229000.0}, {'전용면적(㎡)': 84.52, '거래금액(만원)': 180000.0}, {'전용면적(㎡)': 35.73, '거래금액(만원)': 99500.0}]",,,229000.0,,
신동아듀크빌,243.81,2023-01-01 00:00:00,355000.0,,봉은사로113길 33,37.5174325989231,127.065426133383,"[{'전용면적(㎡)': 243.81, '거래금액(만원)': 355000.0}]",,,,355000.0,
신동아빌라트,172.74,2022-01-01 00:00:00,345000.0,,도산대로81길 61,37.5273288822515,127.044912952275,"[{'전용면적(㎡)': 172.74, '거래금액(만원)': 345000.0}]",,,345000.0,,
신사동닛시빌라트,133.5,2024-01-01 00:00:00,167000.0,,압구정로42길 46,37.5259926331637,127.034362660559,"[{'전용면적(㎡)': 133.5, '거래금액(만원)': 167000.0}]",167000.0,,,,
신사동씨티빌,60.938,2023-01-01 00:00:00,55000.0,,강남대로162길 27-26,37.5210462547671,127.020677682939,"[{'전용면적(㎡)': 60.938, '거래금액(만원)': 55000.0}]",,,,55000.0,
신사아이빌(522),84.93,2024-01-01 00:00:00,138000.0,,압구정로2길 15,37.5207186841862,127.019955768192,"[{'전용면적(㎡)': 84.93, '거래금액(만원)': 138000.0}]",138000.0,,,,
신사아크존2,135.72,2022-01-01 00:00:00,228000.0,,압구정로34길 49,37.5248903596533,127.030719912352,"[{'전용면적(㎡)': 135.72, '거래금액(만원)': 228000.0}]",,,228000.0,,
신성아파트101동,84.9,2024-01-01 00:00:00,195000.0,44.44,언주로167길 15,37.5262583049708,127.031913873685,"[{'전용면적(㎡)': 84.9, '거래금액(만원)': 195000.0}, {'전용면적(㎡)': 59.67, '거래금액(만원)': 135000.0}]",195000.0,,,135000.0,
신현대11차,183.41,2024-01-01 00:00:00,860000.0,,압구정로 151,37.5267858196588,127.024454982256,"[{'전용면적(㎡)': 183.41, '거래금액(만원)': 860000.0}, {'전용면적(㎡)': 171.43, '거래금액(만원)': 730000.0}, {'전용면적(㎡)': 108.36, '거래금액(만원)': 502000.0}, {'전용면적(㎡)': 115.23, '거래금액(만원)': 420000.0}]",860000.0,,,,
신현대12차,182.95,2024-01-01 00:00:00,750000.0,,압구정로 151,37.5267858196588,127.024454982256,"[{'전용면적(㎡)': 182.95, '거래금액(만원)': 750000.0}, {'전용면적(㎡)': 155.52, '거래금액(만원)': 715000.0}, {'전용면적(㎡)': 170.38, '거래금액(만원)': 705000.0}, {'전용면적(㎡)': 110.82, '거래금액(만원)': 510000.0}, {'전용면적(㎡)': 121.18, '거래금액(만원)': 480000.0}, {'전용면적(㎡)': 108.31, '거래금액(만원)': 425000.0}]",750000.0,,,,
신현대9차,152.39,2024-01-01 00:00:00,710000.0,,압구정로 151,37.5267858196588,127.024454982256,"[{'전용면적(㎡)': 152.39, '거래금액(만원)': 710000.0}, {'전용면적(㎡)': 108.88, '거래금액(만원)': 505000.0}, {'전용면적(㎡)': 111.38, '거래금액(만원)': 490000.0}]",710000.0,,,,
쌍용,59.91,2024-01-01 00:00:00,110000.0,4.76,도산대로50길 43,37.5197676154577,127.037868657658,"[{'전용면적(㎡)': 59.91, '거래금액(만원)': 110000.0}, {'전용면적(㎡)': 84.87, '거래금액(만원)': 105000.0}]",110000.0,,,105000.0,
